publication,year_fy,published_date,effective_from,effective_to,zone_no,zone_name,nhh_tariff_floored_p_kwh
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,12,London,1.004355
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,13,Southern,0.938101
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,14,South Western,0.493502
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,1,Northern Scotland,0.0
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,2,Southern Scotland,0.0
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,3,Northern,0.0
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,4,North West,0.0
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,5,Yorkshire,0.0
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,6,N Wales & Mersey,0.0
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,7,East Midlands,0.0535
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,8,Midlands,0.268768
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,9,Eastern,0.428436
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,10,South Wales,0.146649
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,11,South East,0.746175
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,12,London,0.96944
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,13,Southern,0.931259
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,14,South Western,0.338818
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,1,Northern Scotland,0.0
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,2,Southern Scotland,0.0
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,3,Northern,0.0
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,4,North West,0.0
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,5,Yorkshire,0.0
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,6,N Wales & Mersey,0.0
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,7,East Midlands,0.185345
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,8,Midlands,0.378736
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,9,Eastern,0.612771
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,10,South Wales,0.393685
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,11,South East,1.086955
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,12,London,1.145858
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,13,Southern,1.231638
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,14,South Western,0.704802
Final,2025,2024-02-08,2024-04-01,2025-04-01,1,Northern Scotland,0.0
Final,2025,2024-02-08,2024-04-01,2025-04-01,2,Southern Scotland,0.0
Final,2025,2024-02-08,2024-04-01,2025-04-01,3,Northern,0.0
Final,2025,2024-02-08,2024-04-01,2025-04-01,4,North West,0.0
Final,2025,2024-02-08,2024-04-01,2025-04-01,5,Yorkshire,0.0
Final,2025,2024-02-08,2024-04-01,2025-04-01,6,N Wales & Mersey,0.0
Final,2025,2024-02-08,2024-04-01,2025-04-01,7,East Midlands,0.0
Final,2025,2024-02-08,2024-04-01,2025-04-01,8,Midlands,0.312657
Final,2025,2024-02-08,2024-04-01,2025-04-01,9,Eastern,0.113949
Final,2025,2024-02-08,2024-04-01,2025-04-01,10,South Wales,0.533793
Final,2025,2024-02-08,2024-04-01,2025-04-01,11,South East,0.538522
Final,2025,2024-02-08,2024-04-01,2025-04-01,12,London,0.644217
Final,2025,2024-02-08,2024-04-01,2025-04-01,13,Southern,0.903934
Final,2025,2024-02-08,2024-04-01,2025-04-01,14,South Western,1.12962
Draft,2025,2023-12-12,2024-04-01,2025-04-01,1,Northern Scotland,0.0
Draft,2025,2023-12-12,2024-04-01,2025-04-01,2,Southern Scotland,0.0
Draft,2025,2023-12-12,2024-04-01,2025-04-01,3,Northern,0.0
Draft,2025,2023-12-12,2024-04-01,2025-04-01,4,North West,0.0
Draft,2025,2023-12-12,2024-04-01,2025-04-01,5,Yorkshire,0.0
Draft,2025,2023-12-12,2024-04-01,2025-04-01,6,N Wales & Mersey,0.0
Draft,2025,2023-12-12,2024-04-01,2025-04-01,7,East Midlands,0.0
Draft,2025,2023-12-12,2024-04-01,2025-04-01,8,Midlands,0.331477
Draft,2025,2023-12-12,2024-04-01,2025-04-01,9,Eastern,0.121828
Draft,2025,2023-12-12,2024-04-01,2025-04-01,10,South Wales,0.561335
Draft,2025,2023-12-12,2024-04-01,2025-04-01,11,South East,0.572982
Draft,2025,2023-12-12,2024-04-01,2025-04-01,12,London,0.687413
Draft,2025,2023-12-12,2024-04-01,2025-04-01,13,Southern,0.96402
Draft,2025,2023-12-12,2024-04-01,2025-04-01,14,South Western,1.185452
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,1,Northern Scotland,0.0
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,2,Southern Scotland,0.0
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,3,Northern,0.0
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,4,North West,0.0
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,5,Yorkshire,0.0
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,6,N Wales & Mersey,0.0
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,7,East Midlands,0.0
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,8,Midlands,0.270342
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,9,Eastern,0.0
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,10,South Wales,0.713381
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,11,South East,0.345266
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,12,London,0.318591
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,13,Southern,0.794154
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,14,South Western,1.793581
Final,2024,2023-02-14,2023-04-01,2024-04-01,1,Northern Scotland,0.0
Final,2024,2023-02-14,2023-04-01,2024-04-01,2,Southern Scotland,0.0
Final,2024,2023-02-14,2023-04-01,2024-04-01,3,Northern,0.0
Final,2024,2023-02-14,2023-04-01,2024-04-01,4,North West,0.0
Final,2024,2023-02-14,2023-04-01,2024-04-01,5,Yorkshire,0.0
Final,2024,2023-02-14,2023-04-01,2024-04-01,6,N Wales & Mersey,0.0
Final,2024,2023-02-14,2023-04-01,2024-04-01,7,East Midlands,0.0
Final,2024,2023-02-14,2023-04-01,2024-04-01,8,Midlands,0.400584
Final,2024,2023-02-14,2023-04-01,2024-04-01,9,Eastern,0.037686
Final,2024,2023-02-14,2023-04-01,2024-04-01,10,South Wales,0.79412
Final,2024,2023-02-14,2023-04-01,2024-04-01,11,South East,0.402166
Final,2024,2023-02-14,2023-04-01,2024-04-01,12,London,0.489298
Final,2024,2023-02-14,2023-04-01,2024-04-01,13,Southern,0.703544
Final,2024,2023-02-14,2023-04-01,2024-04-01,14,South Western,1.079091
Draft,2024,2022-11-30,2023-04-01,2024-04-01,1,Northern Scotland,0.0
Draft,2024,2022-11-30,2023-04-01,2024-04-01,2,Southern Scotland,0.0
Draft,2024,2022-11-30,2023-04-01,2024-04-01,3,Northern,0.0
Draft,2024,2022-11-30,2023-04-01,2024-04-01,4,North West,0.0
Draft,2024,2022-11-30,2023-04-01,2024-04-01,5,Yorkshire,0.0
Draft,2024,2022-11-30,2023-04-01,2024-04-01,6,N Wales & Mersey,0.0
Draft,2024,2022-11-30,2023-04-01,2024-04-01,7,East Midlands,0.0
Draft,2024,2022-11-30,2023-04-01,2024-04-01,8,Midlands,0.383934
Draft,2024,2022-11-30,2023-04-01,2024-04-01,9,Eastern,0.036455
Draft,2024,2022-11-30,2023-04-01,2024-04-01,10,South Wales,0.761901
Draft,2024,2022-11-30,2023-04-01,2024-04-01,11,South East,0.387454
Draft,2024,2022-11-30,2023-04-01,2024-04-01,12,London,0.452197
Draft,2024,2022-11-30,2023-04-01,2024-04-01,13,Southern,0.674743
Draft,2024,2022-11-30,2023-04-01,2024-04-01,14,South Western,1.050876
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,1,Northern Scotland,0.0
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,2,Southern Scotland,0.0
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,3,Northern,0.0
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,4,North West,0.0
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,5,Yorkshire,0.0
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,6,N Wales & Mersey,0.0
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,7,East Midlands,0.0
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,8,Midlands,0.0
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,9,Eastern,0.124251
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,10,South Wales,0.281869
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,11,South East,0.467587
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,12,London,0.741324
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,13,Southern,0.726061
Forecast,2024,2022-08-31,2023-04-01,2024-04-01,14,South Western,1.027589
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,1,Northern Scotland,0.0
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,2,Southern Scotland,0.0
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,3,Northern,0.0
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,4,North West,0.0
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,5,Yorkshire,0.0
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,6,N Wales & Mersey,0.0
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,7,East Midlands,0.0
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,8,Midlands,0.067926
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,9,Eastern,0.0
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,10,South Wales,0.447363
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,11,South East,0.385372
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,12,London,0.514028
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,13,Southern,0.686977
Forecast,2024,2022-04-07,2023-04-01,2024-04-01,14,South Western,1.174085
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,1,Northern Scotland,0.0
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,2,Southern Scotland,0.0
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,3,Northern,0.0
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,4,North West,0.0
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,5,Yorkshire,0.0
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,6,N Wales & Mersey,0.0
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,7,East Midlands,0.0
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,8,Midlands,0.008554
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,9,Eastern,0.0
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,10,South Wales,0.463199
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,11,South East,0.487435
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,12,London,0.283465
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,13,Southern,0.807441
Forecast,2025,2022-04-07,2024-04-01,2025-04-01,14,South Western,1.477918
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,1,Northern Scotland,0.0
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,2,Southern Scotland,0.0
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,3,Northern,0.0
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,4,North West,0.0
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,5,Yorkshire,0.0
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,6,N Wales & Mersey,0.0
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,7,East Midlands,0.0
